task,model,sum_delta_AIC,mean_AIC,std_AIC,std_delta_AIC,n_vlms,p_exc,p_model
Grid,BCH,48.97172035646872,1624.118791678451,477.32153762348224,15.869671240008696,6,0.2439,0.2858953527696192
Grid,LogN,5471.43746361123,2527.863082220911,1844.0554533633276,1675.478505309964,6,0.0191,0.09090909090909091
Grid,PE,1626.012496018615,1886.9589209554754,583.1555783237259,125.15503422329617,6,0.0177,0.09090909090909091
Grid,SDT,0.0,1615.9568382857062,484.71621430311603,2.1622555824284158,6,0.7006,0.441377374503108
Grid,WEV,1338.8675102620618,1839.1014233293834,522.4281083415486,57.19450522509001,6,0.0187,0.09090909090909091
Gabor,BCH,2139.6612998692253,2156.416318433161,691.7939767273273,648.4702979341911,6,0.2124,0.2756474264768161
Gabor,LogN,7536.142040668074,3055.829775232969,2044.2539717111613,1878.2541584156475,6,0.017,0.09090909140759368
Gabor,PE,4529.939189775654,2554.795966750899,833.096962752454,697.6679003095941,6,0.0179,0.09091009896807023
Gabor,SDT,0.0,1799.80610178829,459.9433010141562,14.807338601686642,6,0.7348,0.4516217368258364
Gabor,WEV,4427.647592874015,2537.7473672672927,734.4094305138834,497.8636944826302,6,0.0179,0.09091164632168364
Brightness,BCH,0.0,1568.2813618494602,477.51532374049793,42.3684555092187,6,0.485,0.3692833600499604
Brightness,LogN,7446.2377415921,2809.3209854481433,543.9441791432794,226.06815259820738,6,0.0175,0.09090909090909091
Brightness,PE,7852.11513132945,2876.967217071035,584.5948191492787,270.0985904451064,6,0.0198,0.09090909090909091
Brightness,SDT,515.6611961044182,1654.2248945335298,728.9355378207915,252.64162432458986,6,0.4581,0.3579893672227669
Brightness,WEV,9090.970861668215,3083.443172127496,1326.2031384383415,860.6932455729924,6,0.0196,0.09090909090909091
