task,model,sum_delta_AIC,mean_AIC,std_AIC,std_delta_AIC,n_vlms,p_exc,p_model
Grid,BCH,0.0,2215.0994252568194,807.4637874578718,562.7754145781064,6,0.2406,0.22681369834354248
Grid,LogN,9968.636403668232,3876.538825868191,2077.0708614473224,2410.074479999642,6,0.1409,0.18181818181818182
Grid,PE,1562.5363591271253,2475.522151778007,598.8400031333833,866.0340643565744,6,0.3588,0.2727272727272665
Grid,SDT,676.8156090534685,2327.9020267657306,939.6916762123434,737.7543297686892,6,0.2283,0.22773175620191832
Grid,WEV,15090.076708070847,4730.112209935293,3329.157301719029,3156.938020386189,6,0.0314,0.09090909090909091
Gabor,BCH,4224.017897399048,2955.295307109264,895.8731886268342,790.6666966401145,6,0.2129,0.2727272808128199
Gabor,LogN,25012.57987188338,6420.055636189986,3898.780069430365,3984.4574171139425,6,0.0165,0.09090909090909091
Gabor,PE,9861.981482751995,3894.9559046680884,665.5928439870452,1051.1674436065857,6,0.0171,0.09090909090909091
Gabor,SDT,0.0,2251.2923242094225,605.8361143081697,37.118425215090234,6,0.7357,0.4545452617591751
Gabor,WEV,10590.305713754748,4016.3432765018806,1916.8444256229934,1506.2490813527952,6,0.0178,0.09090927560982327
Brightness,BCH,12560.131570807187,4801.921924618923,3571.796946410286,2409.0820774595304,6,0.0223,0.13636363636363635
Brightness,LogN,36148.86887119621,8733.378141350428,3760.383559359713,4887.342097283011,6,0.0097,0.09090909090909091
Brightness,PE,15303.918759828348,5259.219789455783,554.292469106678,1420.5682215628349,6,0.0112,0.09090909090909091
Brightness,SDT,0.0,2708.566662817725,1294.4127202986442,0.0,6,0.9473,0.5909090909090909
Brightness,WEV,10988.431811321638,4539.971964704665,1692.0948404332526,1105.6844158610302,6,0.0095,0.09090909090909091
