task,vlm,model,nll,AIC,BIC,n_params,n_trials,delta_AIC,delta_BIC
Brightness,gemma3_27b,SDT,2260.754094919627,4553.508189839254,4630.275236446852,16,896,0.0,0.0
Brightness,gemma3_27b,PE,2408.3751622759346,4848.750324551869,4925.517371159468,16,896,295.24213471261555,295.24213471261555
Brightness,gemma3_27b,LogN,2546.7560478949,5127.5120957898,5209.077082810373,17,896,574.0039059505461,578.8018463635208
Brightness,gemma3_27b,WEV,2833.332405936003,5702.664811872006,5789.027739305555,18,896,1149.1566220327522,1158.7525028587024
Brightness,gemma3_27b,BCH,4868.02501947804,9768.05003895608,9844.81708556368,16,896,5214.541849116827,5214.5418491168275
Brightness,kimi-vl-a3b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,kimi-vl-a3b,BCH,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,kimi-vl-a3b,WEV,1190.741778605869,2417.483557211738,2503.846484645287,18,896,1143.363809648316,1152.9596904742662
Brightness,kimi-vl-a3b,PE,2537.108583584431,5106.217167168862,5182.984213776461,16,896,3832.09741960544,3832.09741960544
Brightness,kimi-vl-a3b,LogN,5649.705328084672,11333.410656169344,11414.975643189919,17,896,10059.290908605923,10064.088849018897
Brightness,ovis2_34b,SDT,1513.324211931055,3058.64842386211,3135.415470469709,16,896,0.0,0.0
Brightness,ovis2_34b,BCH,1602.1212133088027,3236.2424266176054,3313.009473225204,16,896,177.59400275549524,177.59400275549524
Brightness,ovis2_34b,LogN,2392.8785550620846,4819.757110124169,4901.322097144743,17,896,1761.108686262059,1765.9066266750337
Brightness,ovis2_34b,WEV,3116.182302986444,6268.364605972888,6354.727533406437,18,896,3209.716182110778,3219.312062936728
Brightness,ovis2_34b,PE,3170.4712344892123,6372.942468978425,6449.709515586023,16,896,3314.2940451163145,3314.2940451163145
Brightness,qwen2.5-vl-32b,SDT,1776.3522898939386,3584.7045797878773,3661.471626395476,16,896,0.0,0.0
Brightness,qwen2.5-vl-32b,WEV,2246.0610443035584,4528.122088607117,4614.485016040666,18,896,943.4175088192396,953.0133896451898
Brightness,qwen2.5-vl-32b,PE,2499.632004250481,5031.264008500962,5108.03105510856,16,896,1446.5594287130843,1446.5594287130843
Brightness,qwen2.5-vl-32b,BCH,4167.490912410033,8366.981824820066,8443.748871427666,16,896,4782.277245032189,4782.27724503219
Brightness,qwen2.5-vl-32b,LogN,4195.3017309051165,8424.603461810233,8506.168448830807,17,896,4839.898882022356,4844.696822435331
Brightness,qwen2.5-vl-72b,SDT,636.1707776239998,1304.3415552479996,1381.1086018555984,16,896,0.0,0.0
Brightness,qwen2.5-vl-72b,BCH,688.0579850298525,1408.115970059705,1484.8830166673038,16,896,103.77441481170536,103.77441481170536
Brightness,qwen2.5-vl-72b,WEV,1257.7139107865682,2551.4278215731365,2637.7907490066855,18,896,1247.0862663251369,1256.682147151087
Brightness,qwen2.5-vl-72b,PE,2534.8632394552073,5101.726478910415,5178.4935255180135,16,896,3797.384923662415,3797.384923662415
Brightness,qwen2.5-vl-72b,LogN,7309.812534871021,14653.625069742042,14735.190056762616,17,896,13349.283514494042,13354.081454907018
Brightness,qwen2.5-vl-7b,SDT,1222.0387403028435,2476.077480605687,2552.844527213286,16,896,0.0,0.0
Brightness,qwen2.5-vl-7b,BCH,2363.0107698483293,4758.021539696659,4834.7885863042575,16,896,2281.9440590909717,2281.9440590909717
Brightness,qwen2.5-vl-7b,PE,2531.209144312084,5094.418288624168,5171.185335231767,16,896,2618.340808018481,2618.340808018481
Brightness,qwen2.5-vl-7b,WEV,2867.8844514955504,5771.768902991101,5858.13183042465,18,896,3295.6914223854137,3305.287303211364
Brightness,qwen2.5-vl-7b,LogN,4003.680227233487,8041.360454466974,8122.925441487548,17,896,5565.282973861287,5570.080914274262
Gabor,gemma3_27b,SDT,1446.9945617423741,2925.9891234847482,3002.756170092347,16,896,0.0,0.0
Gabor,gemma3_27b,PE,1492.6108832252637,3017.2217664505274,3093.988813058126,16,896,91.23264296577918,91.23264296577918
Gabor,gemma3_27b,LogN,1601.3924715919156,3236.7849431838313,3318.349930204405,17,896,310.79581969908304,315.59376011205813
Gabor,gemma3_27b,BCH,2152.889626436321,4337.779252872642,4414.546299480241,16,896,1411.790129387894,1411.790129387894
Gabor,gemma3_27b,WEV,3191.508848706577,6419.017697413154,6505.380624846703,18,896,3493.0285739284054,3502.6244547543556
Gabor,kimi-vl-a3b,SDT,780.5621484065418,1593.1242968130837,1669.8913434206825,16,896,0.0,0.0
Gabor,kimi-vl-a3b,BCH,796.7972091388776,1625.5944182777553,1702.361464885354,16,896,32.47012146467159,32.47012146467159
Gabor,kimi-vl-a3b,WEV,1098.8259461986386,2233.651892397277,2320.014819830826,18,896,640.5275955841935,650.1234764101437
Gabor,kimi-vl-a3b,PE,1690.8097642387138,3413.6195284774276,3490.3865750850264,16,896,1820.495231664344,1820.495231664344
Gabor,kimi-vl-a3b,LogN,2261.3381431311755,4556.676286262351,4638.241273282924,17,896,2963.5519894492672,2968.349929862242
Gabor,ovis2_34b,BCH,1297.3795602178925,2626.759120435785,2703.526167043384,16,896,0.0,0.0
Gabor,ovis2_34b,SDT,1340.842124620532,2713.684249241064,2790.451295848663,16,896,86.9251288052792,86.9251288052792
Gabor,ovis2_34b,PE,2094.433479895208,4220.866959790416,4297.634006398015,16,896,1594.1078393546313,1594.1078393546313
Gabor,ovis2_34b,WEV,2831.234215511741,5698.468431023482,5784.831358457031,18,896,3071.7093105876966,3081.3051914136468
Gabor,ovis2_34b,LogN,5409.168083324974,10852.336166649948,10933.901153670522,17,896,8225.577046214163,8230.37498662714
Gabor,qwen2.5-vl-32b,SDT,943.2964304708094,1918.5928609416187,1995.3599075492175,16,896,0.0,0.0
Gabor,qwen2.5-vl-32b,BCH,1594.1395477207375,3220.279095441475,3297.0461420490738,16,896,1301.6862344998563,1301.6862344998563
Gabor,qwen2.5-vl-32b,WEV,2358.7549764583096,4753.509952916619,4839.872880350168,18,896,2834.9170919750004,2844.5129728009506
Gabor,qwen2.5-vl-32b,PE,2411.89636075181,4855.79272150362,4932.559768111219,16,896,2937.199860562001,2937.199860562001
Gabor,qwen2.5-vl-32b,LogN,5958.24263158691,11950.48526317382,12032.050250194394,17,896,10031.8924022322,10036.690342645175
Gabor,qwen2.5-vl-72b,SDT,796.5948062575671,1625.1896125151343,1701.956659122733,16,896,0.0,0.0
Gabor,qwen2.5-vl-72b,WEV,807.7014379376603,1651.4028758753207,1737.7658033088694,18,896,26.213263360186374,35.809144186136336
Gabor,qwen2.5-vl-72b,BCH,1603.6988391189598,3239.3976782379195,3316.1647248455183,16,896,1614.2080657227852,1614.2080657227852
