task,vlm,model,nll,AIC,BIC,n_params,n_trials,delta_AIC,delta_BIC
Brightness,claude-sonnet-4-5,SDT,2206.8205900820394,4445.641180164079,4522.408226771678,16,896,0.0,0.0
Brightness,claude-sonnet-4-5,PE,2434.1697504890376,4900.339500978075,4977.106547585674,16,896,454.69832081399636,454.69832081399636
Brightness,claude-sonnet-4-5,LogN,2592.205686082144,5218.411372164288,5299.976359184861,17,896,772.7701920002091,777.5681324131838
Brightness,claude-sonnet-4-5,WEV,3585.534901803536,7207.069803607072,7293.432731040621,18,896,2761.428623442993,2771.024504268943
Brightness,claude-sonnet-4-5,BCH,3873.262381401286,7778.524762802572,7855.291809410171,16,896,3332.883582638493,3332.883582638493
Brightness,gemma3_27b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,gemma3_27b,BCH,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,gemma3_27b,PE,1190.7107514626432,2413.4215029252864,2490.188549532885,16,896,1139.3017553618643,1139.3017553618643
Brightness,gemma3_27b,LogN,1190.846191179853,2415.692382359706,2497.2573693802797,17,896,1141.5726347962836,1146.3705752092587
Brightness,gemma3_27b,WEV,1190.724591256519,2417.449182513038,2503.812109946587,18,896,1143.329434949616,1152.925315775566
Brightness,gpt-4o,BCH,1515.0624910382942,3062.1249820765884,3138.892028684187,16,896,0.0,0.0
Brightness,gpt-4o,SDT,1668.0920459788001,3368.1840919576002,3444.951138565199,16,896,306.05910988101186,306.05910988101186
Brightness,gpt-4o,LogN,2101.319079493392,4236.638158986784,4318.203146007358,17,896,1174.5131769101959,1179.3111173231705
Brightness,gpt-4o,PE,2194.25569769151,4420.51139538302,4497.278441990618,16,896,1358.3864133064312,1358.3864133064312
Brightness,gpt-4o,WEV,4169.030241328488,8374.060482656976,8460.423410090525,18,896,5311.935500580388,5321.5313814063375
Brightness,gpt-5,BCH,1677.6970551955428,3387.3941103910856,3464.1611569986844,16,896,0.0,0.0
Brightness,gpt-5,SDT,1689.362067009978,3410.724134019956,3487.491180627555,16,896,23.33002362887055,23.33002362887055
Brightness,gpt-5,WEV,2147.5131454895877,4331.026290979175,4417.389218412724,18,896,943.6321805880898,953.22806141404
Brightness,gpt-5,PE,2485.171909792762,5002.343819585524,5079.110866193123,16,896,1614.9497091944386,1614.9497091944386
Brightness,gpt-5,LogN,5292.3394609507,10618.6789219014,10700.243908921975,17,896,7231.284811510315,7236.082751923291
Brightness,kimi-vl-a3b,SDT,636.1674364361542,1304.3348728723083,1381.101919479907,16,896,0.0,0.0
Brightness,kimi-vl-a3b,BCH,688.0579850298525,1408.115970059705,1484.8830166673038,16,896,103.78109718739665,103.78109718739665
Brightness,kimi-vl-a3b,PE,1208.846117913768,2449.692235827536,2526.459282435135,16,896,1145.3573629552277,1145.3573629552277
Brightness,kimi-vl-a3b,LogN,1210.9488019666019,2455.8976039332038,2537.4625909537776,17,896,1151.5627310608954,1156.3606714738705
Brightness,kimi-vl-a3b,WEV,1257.7069472302478,2551.4138944604956,2637.7768218940446,18,896,1247.0790215881873,1256.6749024141375
Brightness,ovis2_34b,BCH,1226.0652948089528,2484.1305896179056,2560.8976362255044,16,896,0.0,0.0
Brightness,ovis2_34b,SDT,1535.5366833532612,3103.0733667065224,3179.840413314121,16,896,618.9427770886168,618.9427770886168
Brightness,ovis2_34b,LogN,1785.6660363942076,3605.332072788415,3686.897059808989,17,896,1121.2014831705096,1125.9994235834847
Brightness,ovis2_34b,PE,1954.5548219637637,3941.1096439275275,4017.8766905351263,16,896,1456.979054309622,1456.979054309622
Brightness,ovis2_34b,WEV,2867.882029112132,5771.764058224264,5858.126985657813,18,896,3287.6334686063583,3297.2293494323085
Brightness,qwen2.5-vl-32b,BCH,831.5411843644422,1695.0823687288844,1771.8494153364832,16,896,0.0,0.0
Brightness,qwen2.5-vl-32b,SDT,831.7909424660413,1695.5818849320826,1772.3489315396814,16,896,0.4995162031982545,0.4995162031982545
Brightness,qwen2.5-vl-32b,WEV,1404.22728536899,2844.45457073798,2930.8174981715283,18,896,1149.3722020090954,1158.9680828350452
