trial_id,qid,task,model,difficulty_level,pA,pB,choice,confidence,correct
1,GRID-0001,Grid,qwen2.5-vl-7b,1,0.62109375,0.376953125,A,3.0,1
2,GRID-0002,Grid,qwen2.5-vl-7b,1,0.65234375,0.34765625,A,3.0,1
3,GRID-0003,Grid,qwen2.5-vl-7b,1,0.46875,0.53125,B,3.0,1
4,GRID-0004,Grid,qwen2.5-vl-7b,1,0.5,0.5,A,3.0,0
5,GRID-0005,Grid,qwen2.5-vl-7b,1,0.73046875,0.26953125,A,3.0,1
6,GRID-0006,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,1
7,GRID-0007,Grid,qwen2.5-vl-7b,1,0.4375,0.5625,B,3.0,1
8,GRID-0008,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,0
9,GRID-0009,Grid,qwen2.5-vl-7b,1,0.77734375,0.22265625,A,3.0,1
10,GRID-0010,Grid,qwen2.5-vl-7b,1,0.75390625,0.2451171875,A,3.0,1
11,GRID-0011,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,0
12,GRID-0012,Grid,qwen2.5-vl-7b,1,0.40625,0.59375,B,3.0,0
13,GRID-0013,Grid,qwen2.5-vl-7b,1,0.5,0.5,A,3.0,1
14,GRID-0014,Grid,qwen2.5-vl-7b,1,0.5625,0.4375,A,3.0,0
15,GRID-0015,Grid,qwen2.5-vl-7b,1,0.9609375,0.037353515625,A,3.0,1
16,GRID-0016,Grid,qwen2.5-vl-7b,1,0.73046875,0.26953125,A,3.0,1
17,GRID-0017,Grid,qwen2.5-vl-7b,1,0.59375,0.40625,A,3.0,0
18,GRID-0018,Grid,qwen2.5-vl-7b,1,0.62109375,0.376953125,A,3.0,1
19,GRID-0019,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,0
20,GRID-0020,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
21,GRID-0021,Grid,qwen2.5-vl-7b,1,0.87890625,0.119140625,A,3.0,1
22,GRID-0022,Grid,qwen2.5-vl-7b,1,0.92578125,0.07568359375,A,3.0,1
23,GRID-0023,Grid,qwen2.5-vl-7b,1,0.796875,0.2021484375,A,3.0,0
24,GRID-0024,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,0
25,GRID-0025,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
26,GRID-0026,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
27,GRID-0027,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
28,GRID-0028,Grid,qwen2.5-vl-7b,1,0.8359375,0.1640625,A,3.0,0
29,GRID-0029,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
30,GRID-0030,Grid,qwen2.5-vl-7b,1,0.77734375,0.22265625,A,3.0,0
31,GRID-0031,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
32,GRID-0032,Grid,qwen2.5-vl-7b,1,0.8359375,0.1640625,A,3.0,0
