trial_id,qid,task,model,choice,confidence,correct
1,GRID-0001,Grid,qwen2.5-vl-7b,A,3,1
2,GRID-0002,Grid,qwen2.5-vl-7b,A,3,1
3,GRID-0003,Grid,qwen2.5-vl-7b,B,3,1
4,GRID-0004,Grid,qwen2.5-vl-7b,A,3,0
5,GRID-0005,Grid,qwen2.5-vl-7b,A,3,1
6,GRID-0006,Grid,qwen2.5-vl-7b,A,3,1
7,GRID-0007,Grid,qwen2.5-vl-7b,B,3,1
8,GRID-0008,Grid,qwen2.5-vl-7b,A,3,0
9,GRID-0009,Grid,qwen2.5-vl-7b,A,3,1
10,GRID-0010,Grid,qwen2.5-vl-7b,A,3,1
11,GRID-0011,Grid,qwen2.5-vl-7b,A,3,0
12,GRID-0012,Grid,qwen2.5-vl-7b,B,3,0
13,GRID-0013,Grid,qwen2.5-vl-7b,A,3,1
14,GRID-0014,Grid,qwen2.5-vl-7b,A,3,0
15,GRID-0015,Grid,qwen2.5-vl-7b,A,3,1
16,GRID-0016,Grid,qwen2.5-vl-7b,A,3,1
17,GRID-0017,Grid,qwen2.5-vl-7b,A,3,0
18,GRID-0018,Grid,qwen2.5-vl-7b,A,3,1
19,GRID-0019,Grid,qwen2.5-vl-7b,A,3,0
20,GRID-0020,Grid,qwen2.5-vl-7b,A,3,1
21,GRID-0021,Grid,qwen2.5-vl-7b,A,3,1
22,GRID-0022,Grid,qwen2.5-vl-7b,A,3,1
23,GRID-0023,Grid,qwen2.5-vl-7b,A,3,0
24,GRID-0024,Grid,qwen2.5-vl-7b,A,3,0
25,GRID-0025,Grid,qwen2.5-vl-7b,A,3,1
26,GRID-0026,Grid,qwen2.5-vl-7b,A,3,1
27,GRID-0027,Grid,qwen2.5-vl-7b,A,3,1
28,GRID-0028,Grid,qwen2.5-vl-7b,A,3,0
29,GRID-0029,Grid,qwen2.5-vl-7b,A,3,1
30,GRID-0030,Grid,qwen2.5-vl-7b,A,3,0
31,GRID-0031,Grid,qwen2.5-vl-7b,A,3,1
32,GRID-0032,Grid,qwen2.5-vl-7b,A,3,0
33,GRID-0033,Grid,qwen2.5-vl-7b,A,3,1
34,GRID-0034,Grid,qwen2.5-vl-7b,A,3,1
35,GRID-0035,Grid,qwen2.5-vl-7b,A,3,0
36,GRID-0036,Grid,qwen2.5-vl-7b,A,3,0
37,GRID-0037,Grid,qwen2.5-vl-7b,A,3,1
38,GRID-0038,Grid,qwen2.5-vl-7b,A,3,0
39,GRID-0039,Grid,qwen2.5-vl-7b,B,3,1
40,GRID-0040,Grid,qwen2.5-vl-7b,A,3,1
41,GRID-0041,Grid,qwen2.5-vl-7b,B,3,1
42,GRID-0042,Grid,qwen2.5-vl-7b,B,3,1
43,GRID-0043,Grid,qwen2.5-vl-7b,A,3,1
44,GRID-0044,Grid,qwen2.5-vl-7b,B,3,1
45,GRID-0045,Grid,qwen2.5-vl-7b,B,3,1
46,GRID-0046,Grid,qwen2.5-vl-7b,A,3,1
47,GRID-0047,Grid,qwen2.5-vl-7b,A,3,0
48,GRID-0048,Grid,qwen2.5-vl-7b,B,3,1
49,GRID-0049,Grid,qwen2.5-vl-7b,A,3,0
50,GRID-0050,Grid,qwen2.5-vl-7b,A,3,1
51,GRID-0051,Grid,qwen2.5-vl-7b,A,3,1
52,GRID-0052,Grid,qwen2.5-vl-7b,A,3,1
53,GRID-0053,Grid,qwen2.5-vl-7b,A,3,0
54,GRID-0054,Grid,qwen2.5-vl-7b,A,3,1
55,GRID-0055,Grid,qwen2.5-vl-7b,A,3,1
56,GRID-0056,Grid,qwen2.5-vl-7b,A,3,0
57,GRID-0057,Grid,qwen2.5-vl-7b,B,3,1
58,GRID-0058,Grid,qwen2.5-vl-7b,A,3,0
59,GRID-0059,Grid,qwen2.5-vl-7b,A,3,0
60,GRID-0060,Grid,qwen2.5-vl-7b,A,3,1
61,GRID-0061,Grid,qwen2.5-vl-7b,A,3,0
62,GRID-0062,Grid,qwen2.5-vl-7b,A,3,1
63,GRID-0063,Grid,qwen2.5-vl-7b,A,3,1
64,GRID-0064,Grid,qwen2.5-vl-7b,A,3,1
65,GRID-0065,Grid,qwen2.5-vl-7b,A,3,1
66,GRID-0066,Grid,qwen2.5-vl-7b,B,3,1
67,GRID-0067,Grid,qwen2.5-vl-7b,A,3,0
68,GRID-0068,Grid,qwen2.5-vl-7b,B,3,1
69,GRID-0069,Grid,qwen2.5-vl-7b,A,3,0
70,GRID-0070,Grid,qwen2.5-vl-7b,A,3,1
71,GRID-0071,Grid,qwen2.5-vl-7b,A,3,1
72,GRID-0072,Grid,qwen2.5-vl-7b,A,3,1
73,GRID-0073,Grid,qwen2.5-vl-7b,B,3,1
74,GRID-0074,Grid,qwen2.5-vl-7b,B,3,0
75,GRID-0075,Grid,qwen2.5-vl-7b,A,3,1
76,GRID-0076,Grid,qwen2.5-vl-7b,A,3,1
77,GRID-0077,Grid,qwen2.5-vl-7b,B,3,1
78,GRID-0078,Grid,qwen2.5-vl-7b,A,3,0
79,GRID-0079,Grid,qwen2.5-vl-7b,A,3,1
80,GRID-0080,Grid,qwen2.5-vl-7b,B,3,0
81,GRID-0081,Grid,qwen2.5-vl-7b,A,3,0
82,GRID-0082,Grid,qwen2.5-vl-7b,A,3,1
83,GRID-0083,Grid,qwen2.5-vl-7b,A,3,1
84,GRID-0084,Grid,qwen2.5-vl-7b,A,3,0
85,GRID-0085,Grid,qwen2.5-vl-7b,A,3,0
86,GRID-0086,Grid,qwen2.5-vl-7b,A,3,1
87,GRID-0087,Grid,qwen2.5-vl-7b,A,3,1
88,GRID-0088,Grid,qwen2.5-vl-7b,A,3,0
89,GRID-0089,Grid,qwen2.5-vl-7b,B,3,1
90,GRID-0090,Grid,qwen2.5-vl-7b,B,3,0
91,GRID-0091,Grid,qwen2.5-vl-7b,B,3,1
92,GRID-0092,Grid,qwen2.5-vl-7b,A,3,0
93,GRID-0093,Grid,qwen2.5-vl-7b,A,3,1
94,GRID-0094,Grid,qwen2.5-vl-7b,A,3,1
95,GRID-0095,Grid,qwen2.5-vl-7b,A,3,0
96,GRID-0096,Grid,qwen2.5-vl-7b,A,3,1
97,GRID-0097,Grid,qwen2.5-vl-7b,A,3,1
98,GRID-0098,Grid,qwen2.5-vl-7b,B,3,1
99,GRID-0099,Grid,qwen2.5-vl-7b,A,3,1
100,GRID-0100,Grid,qwen2.5-vl-7b,A,3,1
101,GRID-0101,Grid,qwen2.5-vl-7b,A,3,1
102,GRID-0102,Grid,qwen2.5-vl-7b,A,3,1
103,GRID-0103,Grid,qwen2.5-vl-7b,B,3,1
104,GRID-0104,Grid,qwen2.5-vl-7b,B,3,1
105,GRID-0105,Grid,qwen2.5-vl-7b,B,3,0
106,GRID-0106,Grid,qwen2.5-vl-7b,B,3,1
107,GRID-0107,Grid,qwen2.5-vl-7b,B,3,1
108,GRID-0108,Grid,qwen2.5-vl-7b,A,3,1
109,GRID-0109,Grid,qwen2.5-vl-7b,A,3,0
110,GRID-0110,Grid,qwen2.5-vl-7b,B,3,1
111,GRID-0111,Grid,qwen2.5-vl-7b,A,3,0
112,GRID-0112,Grid,qwen2.5-vl-7b,B,3,1
113,GRID-0113,Grid,qwen2.5-vl-7b,A,3,1
114,GRID-0114,Grid,qwen2.5-vl-7b,A,3,1
115,GRID-0115,Grid,qwen2.5-vl-7b,A,3,0
116,GRID-0116,Grid,qwen2.5-vl-7b,A,3,1
117,GRID-0117,Grid,qwen2.5-vl-7b,A,3,0
118,GRID-0118,Grid,qwen2.5-vl-7b,A,3,1
119,GRID-0119,Grid,qwen2.5-vl-7b,A,3,1
120,GRID-0120,Grid,qwen2.5-vl-7b,A,3,1
121,GRID-0121,Grid,qwen2.5-vl-7b,A,3,0
122,GRID-0122,Grid,qwen2.5-vl-7b,A,3,1
123,GRID-0123,Grid,qwen2.5-vl-7b,A,3,1
124,GRID-0124,Grid,qwen2.5-vl-7b,A,3,0
125,GRID-0125,Grid,qwen2.5-vl-7b,A,3,1
126,GRID-0126,Grid,qwen2.5-vl-7b,A,3,1
127,GRID-0127,Grid,qwen2.5-vl-7b,A,3,0
128,GRID-0128,Grid,qwen2.5-vl-7b,A,3,1
129,GRID-0129,Grid,qwen2.5-vl-7b,A,3,1
130,GRID-0130,Grid,qwen2.5-vl-7b,B,3,1
131,GRID-0131,Grid,qwen2.5-vl-7b,B,3,1
132,GRID-0132,Grid,qwen2.5-vl-7b,A,3,1
133,GRID-0133,Grid,qwen2.5-vl-7b,A,3,1
134,GRID-0134,Grid,qwen2.5-vl-7b,B,3,1
135,GRID-0135,Grid,qwen2.5-vl-7b,B,3,1
136,GRID-0136,Grid,qwen2.5-vl-7b,B,3,1
137,GRID-0137,Grid,qwen2.5-vl-7b,A,3,1
138,GRID-0138,Grid,qwen2.5-vl-7b,B,3,1
139,GRID-0139,Grid,qwen2.5-vl-7b,A,3,1
140,GRID-0140,Grid,qwen2.5-vl-7b,B,3,1
141,GRID-0141,Grid,qwen2.5-vl-7b,B,3,1
142,GRID-0142,Grid,qwen2.5-vl-7b,A,3,1
143,GRID-0143,Grid,qwen2.5-vl-7b,A,3,0
144,GRID-0144,Grid,qwen2.5-vl-7b,A,3,1
145,GRID-0145,Grid,qwen2.5-vl-7b,A,3,1
146,GRID-0146,Grid,qwen2.5-vl-7b,B,3,1
147,GRID-0147,Grid,qwen2.5-vl-7b,A,3,0
148,GRID-0148,Grid,qwen2.5-vl-7b,A,3,1
149,GRID-0149,Grid,qwen2.5-vl-7b,B,3,1
150,GRID-0150,Grid,qwen2.5-vl-7b,A,3,1
151,GRID-0151,Grid,qwen2.5-vl-7b,A,3,1
152,GRID-0152,Grid,qwen2.5-vl-7b,B,3,1
153,GRID-0153,Grid,qwen2.5-vl-7b,B,3,1
154,GRID-0154,Grid,qwen2.5-vl-7b,A,3,1
155,GRID-0155,Grid,qwen2.5-vl-7b,A,3,1
156,GRID-0156,Grid,qwen2.5-vl-7b,B,3,1
157,GRID-0157,Grid,qwen2.5-vl-7b,A,4,1
158,GRID-0158,Grid,qwen2.5-vl-7b,A,3,1
159,GRID-0159,Grid,qwen2.5-vl-7b,A,3,1
160,GRID-0160,Grid,qwen2.5-vl-7b,A,3,1
