model,task,meta_da,da,M_ratio,M_diff,logL,n_trials
gemma3_27b,Grid,3.071711715559766,3.1961846482611183,0.9610557754324139,-0.12447293270135207,-103.18665958573547,896
gemma3_27b,Gabor,0.017144597730982113,-0.5970712449799754,-0.02871449240794892,0.6142158427109575,-390.0091889096642,896
gemma3_27b,Brightness,1.5239995263915298,-0.6646945772534685,-2.2927816452012095,2.1886941036449983,-837.086169300664,896
kimi-vl-a3b,Grid,2.3713708723199045,2.978756852832796,0.7960941390918604,-0.6073859805128916,-1170.6333748220097,896
kimi-vl-a3b,Brightness,0.13767537979613462,-1.0914516738689892,-0.1261396936688012,1.2291270536651238,-1371.492545049091,896
ovis2_34b,Grid,3.5789156348975806,3.2920299028561546,1.08714554257011,0.286885732041426,-452.5303992448349,896
ovis2_34b,Gabor,-1.9379929196523153,-2.74322244248138,0.7064658299818024,0.8052295228290645,-1120.4547353287921,896
ovis2_34b,Brightness,-1.66365165266461,-0.4045839369069948,4.112006189328886,-1.2590677157576151,-1147.9450636243273,896
qwen2.5-vl-32b,Grid,3.5658382445664336,3.4089279051750503,1.046029233752107,0.15691033939138332,-490.02318747976676,896
qwen2.5-vl-32b,Gabor,-1.8382340084714164,-1.6842913529601362,1.0913990653937198,-0.15394265551128017,-1313.4553513922442,896
qwen2.5-vl-32b,Brightness,-0.061157970716776214,1.5321671425777343,-0.03991599155029744,-1.5933251132945105,-1297.2907873994332,896
qwen2.5-vl-72b,Grid,3.5711981232981183,3.335411097327653,1.0706920433764158,0.23578702597046508,-592.681953170444,896
qwen2.5-vl-72b,Gabor,-2.114386036925914,-2.476360661909768,0.8538279861445144,0.361974624983854,-1005.4292863232854,896
qwen2.5-vl-72b,Brightness,1.2784466017206,-1.2791004363882026,-0.9994888324255061,2.557547038108803,-1293.3953964674513,896
qwen2.5-vl-7b,Grid,3.3261154134576207,3.5052203875174257,0.9489033629104685,-0.17910497405980497,-773.1538732106785,896
qwen2.5-vl-7b,Gabor,-1.88451752785138,-2.3523581816176122,0.801118444707039,0.4678406537662323,-855.2548561585207,896
qwen2.5-vl-7b,Brightness,0.8935827037669973,-0.6283730984740101,-1.4220575418283226,1.5219558022410076,-1294.1992170330213,896
