model,task,meta_da,da,M_ratio,M_diff,logL,n_trials
gemma3_27b,Grid,1.1762703148684346,3.1961846482611183,0.36802326658704887,-2.0199143333926837,-48.437679133775106,896
gemma3_27b,Gabor,0.16670193520437282,-0.5970712449799754,-0.27919940309629826,0.7637731801843483,-503.98999857637716,896
gemma3_27b,Brightness,-1.4145134653124887,-0.6646945772534685,2.1280653005434274,-0.7498188880590202,-13.809791860874357,896
kimi-vl-a3b,Grid,0.09971235187472222,2.978756852832796,0.03347448509598755,-2.879044500958074,-626.9068314767128,896
kimi-vl-a3b,Gabor,0.09827573118649156,-0.5182847804633886,-0.18961724305048105,0.6165605116498801,-184.47871086085235,896
kimi-vl-a3b,Brightness,-1.6161266165753925,-1.0914516738689892,1.4807129397186503,-0.5246749427064032,-30.088819866860035,896
ovis2_34b,Grid,1.3054774037421768,3.2920299028561546,0.3965569700960337,-1.9865524991139778,-184.5906649364588,896
ovis2_34b,Gabor,-0.717267893871695,-2.74322244248138,0.26146909662305434,2.025954548609685,-709.8053022935711,896
ovis2_34b,Brightness,-1.706529516334409,-0.4045839369069948,4.217986332775994,-1.3019455794274142,-752.7489675156761,896
qwen2.5-vl-32b,Grid,2.990082607484377,3.4089279051750503,0.8771328378476912,-0.41884529769067314,-12.772868109458269,896
qwen2.5-vl-32b,Gabor,-0.7865910480168217,-1.6842913529601362,0.4670160222780878,0.8977003049433145,-395.6951404303239,896
qwen2.5-vl-32b,Brightness,-0.292993819019177,1.5321671425777343,-0.1912283659380928,-1.8251609615969113,-224.4870406424806,896
qwen2.5-vl-72b,Grid,3.2337044418503154,3.335411097327653,0.9695070105274802,-0.10170665547733782,-12.64420940959317,896
qwen2.5-vl-72b,Gabor,-1.3553380902885774,-2.476360661909768,0.5473104589067981,1.1210225716211906,-146.78222557229103,896
qwen2.5-vl-72b,Brightness,-0.5966815636735566,-1.2791004363882026,0.46648531006557004,0.682418872714646,-37.77741945181828,896
qwen2.5-vl-7b,Grid,2.0624775898032546,3.5052203875174257,0.5884016871372831,-1.4427427977141711,-340.46198080006855,896
qwen2.5-vl-7b,Gabor,-0.38251352083170287,-2.3523581816176122,0.1626085363278586,1.9698446607859093,-29.495537120606162,896
qwen2.5-vl-7b,Brightness,-0.04412622159003826,-0.6283730984740101,0.07022296418671932,0.5842468768839719,-324.5601553800827,896
claude-sonnet-4-5,Grid,1.3481224338969044,2.5465366773157836,0.5293944697148104,-1.1984142434188791,-756.4782977891347,896
claude-sonnet-4-5,Gabor,-1.1488050609558624,-1.7811634508693133,0.6449745307737914,0.6323583899134508,-828.9863521710009,896
claude-sonnet-4-5,Brightness,-0.7134605368116687,-0.8411287981567785,0.848217940433287,0.1276682613451099,-1130.224595905284,896
gpt-4o,Grid,1.2143742903173187,2.3494524788713247,0.5168754427843134,-1.135078188554006,-270.72420972133887,896
gpt-4o,Gabor,-0.10028998537147092,-0.236563444494846,0.42394540536737885,0.13627345912337507,-685.9490223362153,896
gpt-4o,Brightness,-0.5060451075578486,-0.42646998247159784,1.1865902135129764,-0.07957512508625075,-884.4977230621096,896
gpt-5,Grid,3.378482200639532,3.534292058051772,0.9559148324889347,-0.15580985741223996,-1000.626636018477,896
gpt-5,Gabor,-0.9744216893560047,-2.4587832494793815,0.39630239451254073,1.4843615601233768,-292.1804092272503,896
gpt-5,Brightness,-1.0406603270482397,-1.3780942349082097,0.7551445327086465,0.33743390785996996,-1077.7016330341337,896
