method,task,vlm,dominant_model,min_aic
Self-report,Grid,claude-sonnet-4-5,SDT,2800.966333310662
Self-report,Grid,gemma3_27b,SDT,1274.119747563422
Self-report,Grid,gpt-4o,SDT,1756.813135979752
Self-report,Grid,gpt-5,SDT,3386.364104190411
Self-report,Grid,kimi-vl-a3b,BCH,2497.904160411452
Self-report,Grid,ovis2_34b,SDT,1567.9777616452511
Self-report,Grid,qwen2.5-vl-32b,SDT,1274.119747563422
Self-report,Grid,qwen2.5-vl-72b,SDT,1274.1197475634222
Self-report,Grid,qwen2.5-vl-7b,SDT,1802.203442096835
Self-report,Gabor,claude-sonnet-4-5,SDT,2925.962746606814
Self-report,Gabor,gemma3_27b,SDT,1593.1179766755092
Self-report,Gabor,gpt-4o,SDT,2713.62465876497
Self-report,Gabor,gpt-5,SDT,1918.520244006766
Self-report,Gabor,kimi-vl-a3b,SDT,1622.013650405224
Self-report,Gabor,ovis2_34b,BCH,2578.21384306161
Self-report,Gabor,qwen2.5-vl-32b,BCH,1990.1565772011763
Self-report,Gabor,qwen2.5-vl-72b,SDT,1678.6217800546367
Self-report,Gabor,qwen2.5-vl-7b,SDT,1286.8246278527374
Self-report,Brightness,claude-sonnet-4-5,SDT,4445.641180164079
Self-report,Brightness,gemma3_27b,SDT,1274.1197475634222
Self-report,Brightness,gpt-4o,BCH,3062.1249820765884
Self-report,Brightness,gpt-5,BCH,3387.3941103910856
Self-report,Brightness,kimi-vl-a3b,SDT,1304.3348728723083
Self-report,Brightness,ovis2_34b,BCH,2484.1305896179056
Self-report,Brightness,qwen2.5-vl-32b,BCH,1695.0823687288844
Self-report,Brightness,qwen2.5-vl-72b,SDT,1274.1197475634222
Self-report,Brightness,qwen2.5-vl-7b,SDT,1274.1197475634222
Logits-based,Grid,gemma3_27b,PE,1748.1621601364943
Logits-based,Grid,kimi-vl-a3b,SDT,1274.1197475634222
Logits-based,Grid,ovis2_34b,BCH,1758.456575940639
Logits-based,Grid,qwen2.5-vl-32b,LogN,2217.0418513575573
Logits-based,Grid,qwen2.5-vl-72b,PE,2440.4026973325504
Logits-based,Grid,qwen2.5-vl-7b,SDT,1568.9081118254735
Logits-based,Gabor,gemma3_27b,SDT,2925.989123484748
Logits-based,Gabor,kimi-vl-a3b,SDT,1593.1242968130837
Logits-based,Gabor,ovis2_34b,BCH,2626.759120435785
Logits-based,Gabor,qwen2.5-vl-32b,SDT,1918.5928609416187
Logits-based,Gabor,qwen2.5-vl-72b,SDT,1625.1896125151345
Logits-based,Gabor,qwen2.5-vl-7b,BCH,2681.9622773900073
Logits-based,Brightness,gemma3_27b,SDT,4553.508189839254
Logits-based,Brightness,kimi-vl-a3b,SDT,1274.1197475634222
Logits-based,Brightness,ovis2_34b,SDT,3058.64842386211
Logits-based,Brightness,qwen2.5-vl-32b,SDT,3584.7045797878773
Logits-based,Brightness,qwen2.5-vl-72b,SDT,1304.3415552479996
Logits-based,Brightness,qwen2.5-vl-7b,SDT,2476.077480605687
